08-07-46 - Experiment started
08-07-46 - Using device: cuda
08-07-46 - Configuration saved to results\28-03-25_08-07-46\config.txt
08-07-46 - 
Training Standard MLP Model
08-07-51 - Standard Model - Initial Train Accuracy: 7.37%
08-07-58 - Epoch 1: Train Loss: 0.5469, Train Accuracy: 80.37%
08-07-59 - Standard MLP - Epoch 1: Test Accuracy: 83.62%
08-08-06 - Epoch 2: Train Loss: 0.4011, Train Accuracy: 85.48%
08-08-07 - Standard MLP - Epoch 2: Test Accuracy: 84.41%
08-08-14 - Epoch 3: Train Loss: 0.3674, Train Accuracy: 86.54%
08-08-15 - Standard MLP - Epoch 3: Test Accuracy: 84.74%
08-08-22 - Epoch 4: Train Loss: 0.3427, Train Accuracy: 87.42%
08-08-23 - Standard MLP - Epoch 4: Test Accuracy: 86.22%
08-08-30 - Epoch 5: Train Loss: 0.3284, Train Accuracy: 87.88%
08-08-32 - Standard MLP - Epoch 5: Test Accuracy: 86.56%
08-08-39 - Epoch 6: Train Loss: 0.3134, Train Accuracy: 88.46%
08-08-40 - Standard MLP - Epoch 6: Test Accuracy: 86.55%
08-08-47 - Epoch 7: Train Loss: 0.3052, Train Accuracy: 88.72%
08-08-48 - Standard MLP - Epoch 7: Test Accuracy: 86.92%
08-08-55 - Epoch 8: Train Loss: 0.2949, Train Accuracy: 89.16%
08-08-56 - Standard MLP - Epoch 8: Test Accuracy: 86.03%
08-09-03 - Epoch 9: Train Loss: 0.2832, Train Accuracy: 89.64%
08-09-04 - Standard MLP - Epoch 9: Test Accuracy: 87.44%
08-09-12 - Epoch 10: Train Loss: 0.2769, Train Accuracy: 89.79%
08-09-13 - Standard MLP - Epoch 10: Test Accuracy: 86.61%
