10-15-59 - Experiment started
10-16-00 - Using device: cuda
10-16-00 - Configuration saved to results_2hl\28-03-25_10-15-59\config.txt
10-16-00 - Training Neuron-level Popup Model
10-16-06 - Neuron Model - Initial Train Accuracy: 7.97%
10-16-14 - Epoch 1: Train Loss: 2.0735, Train Accuracy: 32.27%
10-16-15 - Neuron Model - Epoch 1: Test Accuracy: 33.26%
10-16-24 - Epoch 2: Train Loss: 2.0615, Train Accuracy: 33.01%
10-16-25 - Neuron Model - Epoch 2: Test Accuracy: 32.63%
10-16-34 - Epoch 3: Train Loss: 2.0588, Train Accuracy: 32.80%
10-16-36 - Neuron Model - Epoch 3: Test Accuracy: 33.28%
10-16-45 - Epoch 4: Train Loss: 2.0503, Train Accuracy: 33.19%
10-16-46 - Neuron Model - Epoch 4: Test Accuracy: 33.51%
10-16-55 - Epoch 5: Train Loss: 2.0507, Train Accuracy: 33.92%
10-16-56 - Neuron Model - Epoch 5: Test Accuracy: 35.00%
10-17-05 - Epoch 6: Train Loss: 2.0532, Train Accuracy: 34.92%
10-17-06 - Neuron Model - Epoch 6: Test Accuracy: 35.00%
10-17-15 - Epoch 7: Train Loss: 2.0533, Train Accuracy: 34.88%
10-17-17 - Neuron Model - Epoch 7: Test Accuracy: 34.97%
10-17-25 - Epoch 8: Train Loss: 2.0532, Train Accuracy: 34.92%
10-17-27 - Neuron Model - Epoch 8: Test Accuracy: 34.99%
10-17-35 - Epoch 9: Train Loss: 2.0532, Train Accuracy: 34.87%
10-17-36 - Neuron Model - Epoch 9: Test Accuracy: 35.03%
10-17-44 - Epoch 10: Train Loss: 2.0536, Train Accuracy: 34.85%
10-17-45 - Neuron Model - Epoch 10: Test Accuracy: 35.03%
10-17-53 - Epoch 11: Train Loss: 2.0532, Train Accuracy: 34.91%
10-17-55 - Neuron Model - Epoch 11: Test Accuracy: 35.02%
10-18-03 - Epoch 12: Train Loss: 2.0533, Train Accuracy: 34.89%
10-18-04 - Neuron Model - Epoch 12: Test Accuracy: 34.96%
10-18-13 - Epoch 13: Train Loss: 2.0529, Train Accuracy: 34.91%
10-18-14 - Neuron Model - Epoch 13: Test Accuracy: 35.04%
10-18-23 - Epoch 14: Train Loss: 2.0533, Train Accuracy: 34.84%
10-18-24 - Neuron Model - Epoch 14: Test Accuracy: 35.06%
10-18-32 - Epoch 15: Train Loss: 2.0532, Train Accuracy: 34.85%
10-18-34 - Neuron Model - Epoch 15: Test Accuracy: 35.03%
10-18-42 - Epoch 16: Train Loss: 2.0511, Train Accuracy: 34.00%
10-18-43 - Neuron Model - Epoch 16: Test Accuracy: 33.35%
10-18-52 - Epoch 17: Train Loss: 2.0499, Train Accuracy: 33.66%
10-18-53 - Neuron Model - Epoch 17: Test Accuracy: 33.30%
10-19-02 - Epoch 18: Train Loss: 2.0500, Train Accuracy: 33.69%
10-19-03 - Neuron Model - Epoch 18: Test Accuracy: 33.39%
10-19-11 - Epoch 19: Train Loss: 2.0501, Train Accuracy: 33.67%
10-19-13 - Neuron Model - Epoch 19: Test Accuracy: 33.31%
10-19-21 - Epoch 20: Train Loss: 2.0501, Train Accuracy: 33.65%
10-19-22 - Neuron Model - Epoch 20: Test Accuracy: 33.31%
10-19-31 - Epoch 21: Train Loss: 2.0499, Train Accuracy: 33.69%
10-19-32 - Neuron Model - Epoch 21: Test Accuracy: 33.36%
10-19-40 - Epoch 22: Train Loss: 2.0499, Train Accuracy: 33.69%
10-19-42 - Neuron Model - Epoch 22: Test Accuracy: 33.26%
10-19-50 - Epoch 23: Train Loss: 2.0499, Train Accuracy: 33.61%
10-19-51 - Neuron Model - Epoch 23: Test Accuracy: 33.31%
10-19-59 - Epoch 24: Train Loss: 2.0501, Train Accuracy: 33.66%
10-20-00 - Neuron Model - Epoch 24: Test Accuracy: 33.35%
10-20-09 - Epoch 25: Train Loss: 2.0500, Train Accuracy: 33.68%
10-20-10 - Neuron Model - Epoch 25: Test Accuracy: 33.29%
10-20-19 - Epoch 26: Train Loss: 2.0496, Train Accuracy: 33.72%
10-20-20 - Neuron Model - Epoch 26: Test Accuracy: 33.39%
10-20-29 - Epoch 27: Train Loss: 2.0498, Train Accuracy: 33.73%
10-20-30 - Neuron Model - Epoch 27: Test Accuracy: 33.26%
10-20-38 - Epoch 28: Train Loss: 2.0498, Train Accuracy: 33.67%
10-20-40 - Neuron Model - Epoch 28: Test Accuracy: 33.30%
10-20-48 - Epoch 29: Train Loss: 2.0496, Train Accuracy: 33.82%
10-20-49 - Neuron Model - Epoch 29: Test Accuracy: 33.25%
10-20-57 - Epoch 30: Train Loss: 2.0499, Train Accuracy: 33.64%
10-20-59 - Neuron Model - Epoch 30: Test Accuracy: 33.35%
10-21-07 - Epoch 31: Train Loss: 2.0501, Train Accuracy: 33.64%
10-21-09 - Neuron Model - Epoch 31: Test Accuracy: 33.36%
